id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,estimated_diameter_mean_km,estimated_diameter_min_m,estimated_diameter_max_m,relative_velocity_km_s,relative_velocity_km_h,miss_distance_km,miss_distance_astronomical,miss_distance_lunar,orbiting_body,close_approach_date,is_sentry_object,is_potentially_hazardous_asteroid
3712626,3712626,(2015 DG200),22.29,0.0925880583,0.2070331923,0.1498106253,92.5880583366,207.0331923453,17.5773801518,63278.5685463511,12128244.03927184,0.0810723043,31.5371263727,Earth,2023-01-15,False,0
3769883,3769883,(2017 DW35),22.21,0.0960627415,0.2148028201,0.1554327808,96.0627414896,214.8028200758,19.0715696829,68657.6508583342,68303203.74501002,0.4565787183,177.6091214187,Earth,2023-01-15,False,0
3837976,3837976,(2019 BR1),20.59,0.2025606009,0.4529392731,0.327749937,202.5606008648,452.9392730968,10.8796223378,39166.640415994,60978182.546951756,0.4076139757,158.5618365473,Earth,2023-01-15,False,0
3968769,3968769,(2020 AG),26.2,0.0152951935,0.0342010925,0.024748143,15.2951935344,34.201092472,22.6465873598,81527.7144953232,60936819.57364483,0.4073374813,158.4542802257,Earth,2023-01-15,False,0
2526826,2526826,526826 (2007 CA27),21.28,0.1474195145,0.3296400556,0.23852978505,147.4195145042,329.6400556414,23.0662507005,83038.5025216416,56404047.16691182,0.3770377691,146.6676921799,Earth,2023-01-16,False,0
3477703,3477703,(2009 WQ6),29.2,0.0038419789,0.008590926,0.00621645245,3.8419789106,8.5909260123,9.5350589216,34326.2121177283,36530594.42428312,0.2441919422,94.9906655158,Earth,2023-01-16,False,0
3582523,3582523,(2011 UC64),27.9,0.0069912523,0.0156329154,0.01131208385,6.9912523225,15.6329154409,15.9125891709,57285.3210152015,59012392.08029186,0.394473478,153.450182942,Earth,2023-01-16,True,0
3596030,3596030,(2012 BV13),22.29,0.0925880583,0.2070331923,0.1498106253,92.5880583366,207.0331923453,6.6782219075,24041.5988670802,4655566.94604341,0.031120543,12.105891227,Earth,2023-01-16,False,0
3729233,3729233,(2015 TG24),26.68,0.0122618211,0.0274182656,0.01984004335,12.2618211318,27.4182655787,16.7570598312,60325.4153924136,73999605.9648232,0.4946568154,192.4215011906,Earth,2023-01-16,True,0
3799000,3799000,(2018 CN),26.4,0.0139493823,0.0311917671,0.0225705747,13.9493822934,31.1917670523,33.1918546042,119490.6765752168,65739660.58125502,0.4394424906,170.9431288434,Earth,2023-01-16,True,0
3725659,3725659,(2015 PA57),24.5,0.0334622374,0.0748238376,0.0541430375,33.4622374455,74.8238376074,25.3046990446,91096.916560538,71622841.32176375,0.478769125,186.241189625,Earth,2023-01-19,False,0
3753290,3753290,(2016 JT28),23.7,0.0483676488,0.1081533507,0.07826049975,48.3676488219,108.1533506775,24.0942774045,86739.3986561582,44838567.93473862,0.2997273152,116.5939256128,Earth,2023-01-19,False,0
3791015,3791015,(2017 XS),22.7,0.0766575574,0.1714115092,0.1240345333,76.6575573531,171.4115092306,10.0580781632,36209.081387619,30897806.72399555,0.2065390819,80.3437028591,Earth,2023-01-19,False,0
3892189,3892189,(2019 UC14),23.33,0.0573528464,0.1282448632,0.0927988548,57.3528463953,128.2448632429,15.8243830336,56967.7789209474,43197808.90982559,0.2887595185,112.3274526965,Earth,2023-01-19,True,0
3986732,3986732,(2020 BP),25.64,0.0197949759,0.0442629117,0.0320289438,19.7949758664,44.2629116503,17.2456717445,62084.4182802238,3560780.247643233,0.0238023459,9.2591125551,Earth,2023-01-19,False,0
3709774,3709774,(2015 BR515),22.3,0.0921626549,0.2060819612,0.14912230804999999,92.1626548503,206.0819612321,11.550610138,41582.1964966862,56005161.94950761,0.3743713861,145.6304691929,Earth,2023-01-17,False,0
3736807,3736807,(2015 YA),27.4,0.0088014652,0.0196806745,0.01424106985,8.801465209,19.6806745089,6.5620112628,23623.2405459589,33135603.009150192,0.2214978262,86.1626543918,Earth,2023-01-17,False,0
3740823,3740823,(2016 BL1),22.07,0.1024601475,0.2291078547,0.1657840011,102.4601474676,229.1078547221,3.8355572066,13808.0059437288,39181459.1512988,0.2619118785,101.8837207365,Earth,2023-01-17,False,0
3748418,3748418,(2016 FL12),26.3,0.0146067964,0.0326617897,0.023634293049999998,14.6067964271,32.6617897446,6.9386787772,24979.2435980988,67741121.20891708,0.4528214286,176.1475357254,Earth,2023-01-17,False,0
3757410,3757410,(2016 PA40),24.49,0.0336166921,0.0751692087,0.0543929504,33.6166921158,75.1692087496,9.6515534061,34745.5922619308,38268646.009688064,0.2558100995,99.5101287055,Earth,2023-01-17,False,0
